2026-03-17 21:21:43.158 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(54) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 17920 (C:\Users\Xerton\Downloads\project-rest-api\build\classes\java\main started by Xerton in C:\Users\Xerton\Downloads\project-rest-api)
2026-03-17 21:21:43.162 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-03-17 21:25:58.758 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(54) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 6348 (C:\Users\Xerton\Downloads\project-rest-api\build\classes\java\main started by Xerton in C:\Users\Xerton\Downloads\project-rest-api)
2026-03-17 21:25:58.763 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-03-17 21:26:12.867 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(54) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 18164 (C:\Users\Xerton\Downloads\project-rest-api\build\classes\java\main started by Xerton in C:\Users\Xerton\Downloads\project-rest-api)
2026-03-17 21:26:12.870 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-03-17 21:26:28.452 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(54) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 8060 (C:\Users\Xerton\Downloads\project-rest-api\build\classes\java\main started by Xerton in C:\Users\Xerton\Downloads\project-rest-api)
2026-03-17 21:26:28.454 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-03-17 21:29:40.337 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarting(54) - Starting ProjectRestApiApplication using Java 21.0.4 with PID 1912 (C:\Users\Xerton\Downloads\project-rest-api\build\classes\java\main started by Xerton in C:\Users\Xerton\Downloads\project-rest-api)
2026-03-17 21:29:40.337 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStartupProfileInfo(652) - No active profile set, falling back to 1 default profile: "default"
2026-03-17 21:29:44.659 [restartedMain] INFO  c.project.ProjectRestApiApplication.logStarted(60) - Started ProjectRestApiApplication in 4.759 seconds (process running for 5.333)
